Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
A K Spintex,539300,,Textiles - Processing,27.25,65.32,53.88,1.36,0.44,0.64,4.64,2.17,15.58,0.00,13.71,0.02,84.35,0.00
A R C Finance,540135,,Finance & Investments,8.12,12.02,4.81,1.29,0.00,0.80,0.51,0.35,60.29,0.00,41.00,0.85,23.50,0.00
A-1 Acid,542012,,Chemicals,194.90,70.00,145.18,12.18,0.41,5.57,9.46,6.85,84.26,0.00,224.13,0.47,205.00,0.00
A.K.Capital Serv,530499,,Finance & Investments,451.10,70.51,304.19,11.14,2.03,0.44,10.15,11.46,3.69,1.33,297.72,17.48,944.00,5.32
A2Z Infra Engg.,533292,A2ZINFRA,Engineering,4.79,28.14,415.33,1.39,1.58,0.25,-1.96,-21.91,,0.00,84.17,15.08,500.00,0.00
AA Plus Trade,543319,,Trading,8.14,32.78,8.73,1.87,0.19,1.10,2.98,2.17,51.10,0.00,6.64,0.02,15.85,0.00
AAA Technologies,535363,AAATECH,Computers - Software - Medium / Small,50.00,71.51,11.02,7.64,0.00,1.91,9.70,7.00,37.51,1.00,42.76,5.66,72.45,37.72
Aadi Industries,530027,,Plastics Products,3.58,24.86,0.00,0.08,,,,,,0.00,3.58,0.16,75.80,0.00
Aakash Explor.,535076,AAKASH,Oil Drilling / Allied Services,187.75,73.33,62.75,3.37,0.44,4.58,12.13,10.32,38.48,0.00,190.10,1.23,301.00,0.00
Aananda Lakshmi,539096,,Textiles - Spinning - Synthetic / Blended,5.42,58.67,1.86,0.72,,,-11.40,,,0.00,1.89,0.16,19.50,0.00
Aanchal Ispat,538812,,Steel - Medium / Small,10.67,65.14,141.98,4.99,1.40,0.44,0.31,-10.13,,0.00,22.25,0.34,22.90,0.00
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,36.65,49.38,420.71,1.91,0.19,0.89,9.65,6.98,11.46,0.00,85.59,0.65,143.95,0.00
Aarnav Fashions,539562,,Trading,79.40,27.21,34.94,1.93,0.00,5.14,19.57,14.05,37.00,0.63,119.14,0.03,96.25,24.27
Aaron Industries,535103,AARON,Engineering,113.55,74.97,27.46,4.35,0.58,9.37,16.57,16.98,50.46,0.00,114.05,0.11,136.00,0.00
Aartech Solonics,542580,,Electric Equipment,49.35,52.38,10.96,,,,,,134.02,1.01,34.85,,57.90,15.38
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,623.25,60.14,2190.06,2.67,0.38,6.32,34.27,35.81,23.72,0.40,5778.64,9.78,1026.95,8.31
Aarti Industries,524208,AARTIIND,Chemicals,1110.95,44.90,4885.53,2.87,0.81,11.50,13.14,16.14,66.41,0.20,40276.01,412.32,1131.20,9.99
Aarti Surfactant,543210,AARTISURF,Chemicals,1467.25,47.28,493.88,1.91,0.87,7.32,13.23,15.36,51.55,0.20,1112.94,6.73,1887.00,10.49
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,25.50,65.80,358.36,1.19,2.51,0.36,-5.19,-32.21,,0.00,59.59,19.90,166.00,0.00
Aarvi Encon,535014,AARVI,Miscellaneous,64.10,73.47,211.85,2.75,0.04,1.08,12.67,12.96,9.65,2.34,94.77,23.61,119.95,21.22
Aashka Hospitals,543346,,Healthcare,49.50,49.63,40.69,2.08,0.95,2.71,13.12,15.38,28.18,0.00,115.83,2.93,121.10,0.00
AAVAS Financiers,541988,AAVAS,Finance - Housing,2757.35,50.07,1141.62,9.01,2.66,9.06,9.98,12.87,72.78,0.00,21783.77,1120.96,3074.35,0.00
Aayush Food&Herb,539528,,Trading,28.65,51.28,123.03,1.30,0.32,1.37,14.35,6.37,,0.00,9.30,0.27,85.90,0.00
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,69.40,46.00,965.76,0.19,,,,,,0.00,404.70,74.07,5555.00,0.00
ABans Enterprise,512165,,Trading,101.85,74.56,3903.82,3.28,0.59,1.20,25.00,39.00,5.07,0.10,142.08,18.15,303.00,0.43
ABB Power Produc,543187,POWERINDIA,Electric Equipment,2415.30,75.00,3776.14,1.12,0.03,10.43,19.45,13.54,3679.45,0.08,10228.88,318.95,2575.00,8.50
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,22032.10,74.99,4463.59,3.53,0.06,17.99,35.23,27.45,66.30,0.54,46816.06,2409.04,23934.45,84.61
ABC Gas (Int.),513119,,Trading,12.58,33.09,1.34,2.37,1.08,1.77,-13.16,-24.77,,0.00,2.49,0.09,41.00,0.00
ABC India,520123,,Miscellaneous,78.25,60.05,174.04,1.35,0.48,1.23,11.08,7.18,15.82,0.64,42.38,1.86,177.00,10.93
Abhinav Capital,532057,,Finance & Investments,51.35,71.48,5.97,2.06,0.00,1.12,5.20,2.63,10.98,0.00,35.56,0.18,162.15,0.00
Abhinav Leasing,538952,,Finance & Investments,1.39,3.66,14.36,0.26,0.00,1.24,7.69,1.61,46.33,0.00,6.95,0.73,23.70,0.00
Abhishek Infra.,539544,,Construction,3.55,29.65,55.72,1.51,0.00,0.41,,,,0.00,1.15,0.00,64.50,0.00
Abhishek Integr.,535383,AILIMITED,Miscellaneous,24.80,,2.35,,,,,,62.25,0.00,7.47,,38.60,0.00
Abirami Fin.,511756,,Finance & Investments,4.17,59.08,0.00,72.71,0.00,0.32,-1.50,-1.50,,0.00,2.50,4.95,23.30,0.00
ABM Knowledge,531161,,Computers - Software - Medium / Small,117.95,66.93,80.08,3.80,0.00,1.26,14.85,11.05,13.27,1.06,235.93,52.20,180.00,13.07
ACC,500410,ACC,Cement - North India,2250.30,54.53,15858.94,1.90,0.01,3.11,15.97,12.79,20.17,0.62,42255.88,6005.70,2509.00,18.40
Accel,517494,,Computers - Software - Medium / Small,12.19,72.41,91.57,1.10,0.85,0.85,-1.85,-0.20,26.62,0.00,69.49,10.45,58.00,0.00
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1314.55,74.66,290.36,2.69,0.16,8.22,21.77,17.46,46.44,2.66,1959.68,50.74,1890.00,60.14
Accord Synergy,538435,ACCORD,Engineering - Turnkey Services,22.25,71.99,39.06,4.96,0.15,0.39,8.52,4.92,8.05,0.00,7.73,2.52,93.10,0.00
Accuracy Shippi.,535090,ACCURACY,Miscellaneous,140.75,63.40,365.16,5.95,1.09,2.59,11.41,11.11,24.58,0.00,211.91,4.85,151.70,0.00
ACE EduTremd Ltd,530093,,Miscellaneous,1.00,5.01,0.16,1.36,0.00,0.10,-3.08,-3.29,,0.00,0.92,0.01,57.90,0.00
Ace Integrated,538440,ACEINTEG,Miscellaneous,17.10,73.53,6.63,3.96,0.02,1.03,1.25,0.83,124.57,0.00,17.44,0.89,32.97,0.00
Ace Men,539661,,Trading,14.85,11.02,0.29,0.07,0.00,1.42,10.63,7.73,41.81,0.00,4.60,0.02,59.30,0.00
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,17.30,67.84,9.13,4.72,0.10,0.41,-4.13,-3.39,9.99,0.00,8.09,0.87,40.20,0.00
Acewin Agriteck,539570,,Miscellaneous,5.11,59.03,13.75,4.66,0.06,0.19,2.81,1.57,11.93,0.00,5.25,0.11,20.18,0.00
ACI Infocom,517356,,Computers - Software - Medium / Small,1.54,22.88,0.68,9.24,0.00,1.02,1.51,1.09,94.52,0.00,17.01,0.05,23.25,0.00
Acknit Indus.,530043,,Textiles - Products,121.40,50.35,181.58,4.82,0.83,0.68,11.62,11.39,5.60,1.24,36.90,0.58,174.00,7.86
Acme Resources,539391,,Finance & Investments,13.45,73.43,5.90,4.76,0.04,0.31,-15.56,-11.96,,0.00,34.63,1.07,38.25,0.00
Acrow India,513149,,Engineering,133.00,54.59,0.00,212.13,0.00,0.40,-1.49,-0.65,30.39,0.00,8.51,5.76,581.70,0.00
Acrysil,524091,ACRYSIL,Ceramics - Tiles / Sanitaryware,771.85,44.04,361.29,2.58,0.53,10.76,22.49,22.40,42.86,0.26,2056.43,20.13,834.00,13.65
Action Const.Eq.,532762,ACE,Engineering,268.50,70.05,1447.68,1.23,0.10,5.82,20.85,16.53,30.93,0.19,3199.18,36.51,291.75,7.12
Active Clothing,541144,,Textiles - Products,24.75,73.58,73.14,4.34,1.06,0.62,5.49,0.10,639.83,0.00,38.39,4.08,66.40,0.00
AD Manum Finance,511359,,Finance & Investments,23.85,70.06,8.84,14.82,0.21,0.33,6.48,5.88,8.28,0.00,17.89,8.45,51.25,0.00
Adani Enterp.,512599,ADANIENT,Trading,1539.85,74.92,46850.71,1.33,0.93,9.87,8.69,6.31,130.08,0.06,169441.83,1810.82,1718.45,11.92
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1164.30,57.47,3323.57,2.03,28.12,211.50,10.96,25.86,569.90,0.00,182044.03,1019.00,1394.00,0.00
Adani Ports,532921,ADANIPORTS,Miscellaneous,737.25,63.79,14813.72,2.24,1.13,4.90,14.10,17.70,27.15,0.68,150517.97,4700.78,901.00,20.34
Adani Power,533096,ADANIPOWER,Power Generation And Supply,101.85,74.97,27586.51,2.89,,,14.23,,17.60,0.00,39263.60,1607.32,167.05,0.00
Adani Total Gas,542066,ATGL,Miscellaneous,1404.45,74.80,1992.78,0.36,0.27,79.11,31.23,28.10,269.31,0.02,154812.63,10.87,1680.00,5.83
Adani Transmissi,539254,ADANITRANS,Power Generation And Supply,1685.90,74.92,10309.47,1.34,4.43,30.45,11.96,21.65,145.31,0.00,185400.42,1289.91,1990.00,0.00
Adarsh Plant,526711,,Pumps,9.97,49.06,12.63,5.15,8.61,13.72,6.39,35.77,44.89,0.00,9.88,0.06,60.70,0.00
ADC India,523411,KRONECOMM,Telecommunications - Equipment,292.30,72.02,78.05,2.61,0.00,3.14,12.62,8.67,24.81,0.86,134.45,28.10,410.00,31.77
Adcon Capital,539506,,Finance & Investments,10.44,0.00,0.24,155.50,0.00,1.02,3.91,3.35,41.15,0.00,3.70,0.06,13.12,0.00
Add-Shop E-Reta.,541865,,Trading,155.30,62.99,99.39,1.82,0.38,8.67,46.61,46.66,16.98,0.00,175.95,0.52,162.95,0.00
Addi Industries,507852,,Textiles - Products,8.24,74.27,0.00,1.01,0.00,0.45,-1.78,5.82,8.73,0.00,8.90,8.86,50.90,0.00
Adeshwar Meditex,543309,,Healthcare,30.20,,65.97,3.04,1.09,2.12,11.22,9.01,24.49,0.00,43.59,1.07,33.20,0.00
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,892.25,31.42,381.64,4.93,0.00,6.98,27.87,21.60,34.12,0.34,1793.30,64.70,1094.70,12.22
Adinath Exim Res,532056,,Finance & Investments,39.75,62.04,0.94,42.00,0.00,1.13,4.50,3.31,38.15,0.00,17.17,0.01,52.50,0.00
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,61.20,43.64,0.00,0.89,0.29,27.08,22.63,23.27,83.36,0.00,41.68,0.56,101.70,0.00
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,68.40,73.80,199.58,1.93,8.28,8.05,12.76,39.85,21.61,0.00,385.89,405.13,164.90,0.00
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,262.25,56.13,5635.20,1.09,1.26,8.81,-4.32,-33.83,,0.00,24580.91,164.54,281.42,0.00
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,109.10,70.69,19506.73,0.09,3.86,1.92,8.07,8.56,21.44,0.00,26371.59,2807.41,264.00,0.00
Aditya Consumer,540146,,Trading,35.15,55.24,104.29,8.45,0.45,1.96,1.07,0.08,2572.00,0.00,51.44,8.32,237.00,0.00
Aditya Ispat,513513,,Steel - Medium / Small,15.37,24.32,52.52,5.62,2.71,0.82,5.99,4.06,18.27,0.00,8.22,0.07,21.05,0.00
Aditya Spinners,521141,ADITYASPIN,Textiles - Spinning - Synthetic / Blended,13.85,66.37,43.00,3.31,0.79,0.89,2.74,-1.61,17.97,0.00,23.19,0.15,17.78,0.00
Aditya Vision,540205,,Electronics - Consumer,844.70,73.68,790.04,1.84,1.48,17.88,38.35,51.33,26.59,0.59,1016.04,22.25,1564.10,24.39
Adjia Tech,543269,,Computers - Software - Medium / Small,28.50,65.20,0.22,24.20,0.02,,-14.52,-15.64,,,2.51,0.10,74.50,0.00
Ador Fontech,530431,,Electrodes - Welding Equipment,68.05,39.28,182.71,2.98,0.02,2.19,15.21,9.19,14.06,3.23,238.18,27.05,87.00,76.69
Ador Multi Prod.,523120,,Personal Care - Indian,119.00,38.84,17.05,1.91,0.19,4.13,-8.04,-13.34,,0.00,55.61,1.02,155.00,0.00
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,701.95,56.90,520.65,1.93,0.12,4.02,6.25,6.40,50.47,0.00,954.99,18.16,880.20,0.00
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,9.80,52.17,6.39,1.40,0.78,3.12,15.24,0.00,10.88,0.00,18.28,0.03,90.35,
Advait Infratech,543230,,Construction,85.70,73.52,65.71,1.90,0.25,1.45,13.34,17.98,9.80,1.17,43.71,14.17,95.00,10.69
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,31.80,75.00,0.00,1.48,1.51,0.33,-0.51,-1.29,,0.00,9.89,0.02,58.20,0.00
Advance Meter.,534612,AMTL,Electric Equipment,13.32,63.55,17.38,4.79,0.81,0.22,-0.28,-8.11,,0.00,21.39,56.29,42.00,0.00
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,12.57,59.76,41.73,5.13,1.99,0.77,2.44,-14.23,,0.00,13.95,2.04,45.40,0.00
Advanced Enzyme,540025,ADVENZYMES,Chemicals,412.80,52.30,528.36,6.76,0.02,4.75,22.81,16.10,30.75,0.22,4613.07,197.77,503.70,6.88
Advani Hotels.,523269,ADVANIHOTR,Hotels,83.55,50.17,29.29,1.17,0.02,8.93,-11.38,-9.01,,0.00,385.24,2.76,106.00,0.00
Advent Computer,531429,,Computers - Software - Medium / Small,1.97,54.15,0.00,1.28,0.19,0.22,-1.06,-1.32,,0.00,3.21,0.03,24.65,0.00
Advik Capital,539773,,Finance & Investments,3.59,59.07,6.34,5.62,0.24,1.39,2.35,0.68,117.63,0.00,16.47,0.09,5.00,0.00
Advik Labs.,531686,,Pharmaceuticals - Indian - Formulations,1.21,35.90,0.00,0.46,0.49,0.59,-55.81,-74.74,,0.00,2.31,0.01,18.35,0.00
Advitiya Trade,541152,,Trading,59.00,71.03,55.16,2.30,0.04,4.09,2.70,0.98,417.74,0.00,58.48,0.10,91.95,0.00
Aegis Logistics,500003,AEGISCHEM,Trading,239.05,57.74,3885.12,2.99,0.22,4.33,16.57,12.44,32.20,0.84,8376.06,335.63,394.40,31.43
Affle India,542752,AFFLE,Miscellaneous,1218.90,59.89,579.48,1.52,0.33,45.27,39.16,45.86,106.87,0.00,16229.92,63.25,1259.00,0.00
Affordable Robo.,541402,,Engineering,113.90,61.48,65.81,2.11,0.57,2.53,-0.93,-6.91,,0.00,115.94,2.36,157.05,0.00
Agarwal Indl.,531921,AGARIND,Petrochemicals,379.40,60.11,1164.39,5.02,0.76,2.41,19.62,22.76,9.18,0.47,473.50,35.36,792.00,4.56
AGC Networks,500463,AGCNET,Computers - Software - Medium / Small,1023.50,71.17,4875.38,0.99,1.69,17.28,55.74,1473.16,25.81,0.00,3371.03,410.29,1771.00,0.00
AGI Infra,539042,,Construction,173.35,72.94,130.83,1.26,0.57,2.33,19.30,21.29,10.35,0.29,211.77,16.94,214.95,3.61
Agio Paper,516020,,Paper,4.52,63.56,0.00,0.46,,,,,,0.00,7.29,0.04,42.95,0.00
Agri-Tech India,537292,AGRITECH,Miscellaneous,74.05,45.47,0.28,317.20,0.18,0.49,0.08,-0.64,,0.00,43.63,0.05,184.00,0.00
Agrimony Comm.,537492,,Trading,3.64,27.44,0.00,15.72,0.11,0.33,3.68,2.04,16.60,0.00,4.15,1.69,15.75,0.00
Agro Phos India,538387,AGROPHOS,Fertilizers,18.80,54.27,49.95,3.78,0.33,0.92,9.86,7.94,9.48,0.00,38.12,1.01,155.40,0.00
Agro Tech Foods.,500215,ATFL,Solvent Extraction,1025.40,51.77,895.44,2.54,0.03,5.73,10.08,7.35,95.03,0.29,2499.26,12.07,1149.75,23.38
Ahlada Engineers,535111,AHLADA,Steel - Medium / Small,166.55,50.36,189.97,2.62,0.50,1.81,11.29,8.91,19.20,0.84,215.20,5.50,248.00,17.76
Ahluwalia Contr.,532811,AHLUCONT,Construction,364.60,58.00,2312.44,1.63,0.08,2.78,15.88,9.19,23.58,0.00,2464.33,417.63,445.00,0.00
Ahm. Steelcraft,522273,,Steel - Medium / Small,16.95,65.90,-0.05,15.03,0.00,0.27,-1.27,-0.91,,0.00,6.93,1.97,45.50,0.00
AI Champ.Inds.,532806,AICHAMP,Textiles - Jute - Yarn / Products,15.50,58.90,66.36,3.89,0.66,0.54,-8.07,-18.76,,0.00,47.67,0.49,229.01,0.00
AIA Engineering,532683,AIAENG,Castings & Forgings,1888.00,58.47,3041.09,11.30,0.05,4.20,17.02,14.25,30.45,0.48,17758.92,1395.45,2234.00,14.99
Aimco Pesticides,524288,AIMCOPEST,Pesticides / Agrochemicals - Indian,103.15,51.35,186.39,1.32,0.25,2.42,15.26,5.29,42.79,0.97,98.84,4.20,271.00,45.71
Airan,538410,AIRAN,Computers - Software - Medium / Small,21.40,74.95,69.53,4.77,0.07,3.11,7.81,6.13,39.00,0.00,267.54,0.80,189.51,0.00
Airo Lam,535016,AIROLAM,Miscellaneous,74.00,52.23,132.78,2.31,0.77,2.23,12.09,11.63,20.33,0.00,111.00,4.78,80.00,0.00
Aishwarya Tech.,532975,,Telecommunications - Equipment,2.99,29.73,11.52,0.60,6.12,12.11,-50.88,-169.35,,0.00,7.15,0.57,67.75,0.00
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2302.55,70.35,2969.48,2.91,0.01,6.65,31.95,23.43,29.32,0.41,19935.71,209.61,2435.00,12.63
Ajanta Soya,519216,,Miscellaneous,129.95,46.85,1077.68,1.45,0.04,2.64,60.23,37.15,6.31,0.00,209.18,21.37,151.60,0.00
Ajcon Global,511692,,Finance & Investments,37.00,67.48,48.37,4.05,0.66,1.20,4.58,3.59,15.51,0.00,22.64,2.29,49.35,0.00
Ajel,530713,,Computers - Software - Converts,7.96,49.44,3.57,5.76,0.38,0.70,-1.63,-2.32,,0.00,9.27,0.18,67.00,0.00
Ajmera Realty,513349,AJMERA,Construction,367.35,69.74,441.77,7.92,1.17,1.96,6.48,4.63,33.91,0.38,1300.03,42.68,1547.60,16.47
Ajooni Biotech,535040,AJOONI,Miscellaneous,61.70,51.64,50.82,2.04,0.48,3.87,4.98,2.34,166.84,0.00,61.73,0.24,75.70,0.00
AJR Infra &,532959,AJRINFRA,Engineering - Turnkey Services,1.57,20.60,260.14,0.07,2.35,0.79,1.32,-76.55,,0.00,150.78,43.54,35.95,0.00
Ajwa Fun World,526628,,Recreation / Amusement Parks,10.97,49.54,0.30,1.66,,,-14.32,,,0.00,7.01,0.83,29.60,0.00
Akar Auto Indust,530621,,Castings & Forgings,32.05,73.06,226.29,2.46,3.08,1.35,5.98,-10.49,34.23,0.00,34.57,2.09,86.50,0.00
Akash InfraProj.,538409,AKASH,Construction,223.55,74.59,68.12,2.90,0.30,4.72,4.77,1.45,248.00,0.00,376.96,11.77,281.00,14.78
Akashdeep Metal,538778,,Finance & Investments,48.05,58.63,4.58,0.54,0.49,1.48,6.52,2.80,59.21,0.00,40.85,0.22,70.25,0.00
AKG Exim,535110,AKG,Trading,28.15,67.76,87.46,3.56,0.46,1.43,7.82,5.27,16.48,0.00,29.82,0.02,112.70,0.00
AKI India,542020,,Leather / Leather Products,16.15,72.81,44.79,2.34,2.17,1.30,6.08,3.92,33.26,0.00,16.63,1.16,21.90,0.00
AKM Lace,540718,,Trading,24.00,38.85,2.46,2.71,0.00,0.95,-0.13,-0.39,,0.00,7.23,0.10,27.50,0.00
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,9.10,27.94,298.05,0.47,1.27,1.44,1.66,-21.27,,0.00,148.37,21.34,96.95,0.00
Akshar Spintex,541303,,Textiles - Cotton/Blended,26.35,46.06,109.54,2.77,0.69,1.82,3.77,3.48,53.12,0.00,65.88,0.09,40.25,0.00
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,516.30,62.70,288.13,2.51,0.05,1.52,6.23,4.55,28.09,0.68,423.39,3.10,945.00,22.96
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,2230.70,74.76,2789.23,1.62,0.05,7.89,21.93,16.58,33.41,2.24,10151.42,733.20,2530.00,109.59
Alan Scott Inds.,539115,,Textiles - Products,49.05,46.45,0.39,129.00,0.03,5.81,-9.63,0.00,37.29,0.00,8.95,1.27,49.05,
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,17.85,71.33,119.45,2.90,0.15,2.71,17.38,12.17,21.52,1.12,255.88,7.43,88.75,25.84
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Formulations,618.25,61.25,274.82,1.38,0.01,1.44,11.57,9.16,10.50,0.97,353.37,35.37,860.00,15.49
Alchemist Corp.,531409,,Trading,12.16,74.11,0.41,0.74,0.02,0.35,0.65,0.71,85.34,0.00,5.97,0.02,120.00,0.00
Alchemist Realty,532114,,Construction,3.35,45.45,0.00,13.42,,,-0.41,,,0.00,24.82,0.02,129.38,0.00
Alembic,506235,ALEMBICLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,114.45,70.88,80.95,1.45,0.00,1.28,0.69,18.25,9.70,0.17,2944.04,6.57,143.30,1.50
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,819.45,69.48,5377.85,2.44,0.10,3.14,26.01,28.23,15.46,1.71,16100.11,105.84,1150.00,23.36
Alexander Stamps,511463,,Trading,18.90,11.22,1.04,19.40,0.02,1.07,0.38,0.26,176.02,0.00,17.60,0.31,90.93,0.00
Alfa Ica (I),530973,,Miscellaneous,35.50,71.12,61.91,3.43,0.76,0.84,10.86,8.30,9.76,0.00,14.34,0.26,85.00,0.00
Alfa Transformer,517546,,Electric Equipment,9.02,46.96,19.38,1.48,0.25,0.47,-23.35,-51.34,,0.00,8.26,3.06,171.60,0.00
Alfavision Overs,531156,,Miscellaneous,56.70,24.80,154.32,2.10,5.57,1.82,7.91,15.65,12.49,0.35,17.87,0.21,134.00,0.00
Alfred Herbert,505216,ALFREDHERB,Finance & Investments,640.55,73.86,6.95,1.26,0.00,0.52,0.14,-0.25,,0.43,49.32,1.38,1598.00,-95.45
Alicon Cast.,531147,ALICON,Auto Ancillaries,762.95,55.71,1006.34,2.39,1.10,3.89,5.57,-0.61,32.50,0.00,1230.61,19.73,949.00,0.00
Alka India,530889,,Textiles - Cotton/Blended,0.75,16.27,0.00,15.83,0.00,2.16,-1.82,-1.88,,0.00,37.50,0.00,3.56,0.00
Alka Securities,532166,,Finance & Investments,0.37,46.91,0.47,,,,,,177.70,0.00,3.55,,23.60,0.00
Alkali Metals,533029,ALKALI,Chemicals,94.15,69.64,56.12,2.27,0.44,1.94,4.10,-4.07,,0.85,95.90,0.95,399.40,-66.94
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,3926.75,58.84,9604.37,3.50,0.23,6.36,22.09,22.98,28.69,0.76,46804.48,1990.45,4070.00,22.63
Alkyl Amines,506767,ALKYLAMINE,Chemicals,4007.35,74.09,1389.10,1.94,0.06,25.83,55.80,44.58,63.71,0.25,20455.69,126.04,4749.00,17.29
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,279.40,70.01,11869.80,0.96,0.75,3.01,10.32,7.81,28.39,0.72,6876.96,381.22,318.00,28.42
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,83.95,49.95,373.35,4.53,0.12,0.91,5.26,4.16,21.84,0.89,425.93,58.17,564.51,19.75
Allsec Tech.,532633,ALLSEC,Computers - Software - Medium / Small,494.50,73.39,284.26,8.04,0.08,2.84,17.05,14.10,35.67,3.03,753.44,150.01,559.05,65.09
Almondz Global,531400,ALMONDZ,Finance & Investments,112.95,58.29,64.92,2.75,0.11,1.79,13.21,12.01,14.10,0.00,295.62,29.01,139.95,0.00
Alok Industries,521070,ALOKINDS,Textiles - Processing,24.60,75.00,4753.14,1.24,,,-0.63,,,0.00,12214.49,271.13,97.58,0.00
Alpa Laboratorie,532878,ALPA,Pharmaceuticals - Indian - Formulations,55.70,56.66,112.78,3.73,0.00,1.09,10.43,6.97,11.16,0.00,117.19,10.51,93.00,0.00
Alphageo (India),526397,ALPHAGEO,Oil Drilling / Allied Services,455.00,46.21,223.52,4.59,0.00,1.10,3.94,2.44,8.24,1.76,291.67,64.92,1147.00,79.19
Alphalogic Tech.,542770,,Computers - Software - Medium / Small,30.60,74.75,5.48,4.13,0.21,5.77,,,91.10,,62.86,0.03,41.50,0.00
